1125,84;750;501
1126,34;750,1;479
1126,86;750,2;460
1127,38;750,1;444
1127,86;750,1;432
1128,38;750;422
1128,89;632,5;748
1129,39;473,7;539
1129,94;355;430
1130,45;268,9;354
1130,97;205;292
1131,5;154,8;222
1132,01;117,5;149
1132,53;89,7;76
1133,06;67,7;50
1133,58;51,1;34
1134,11;38,3;24,9
1134,61;29,1;18,4
1135,11;22,1;14
1135,64;16,6;10,6
1136,16;12,4;8,27
1136,7;9,1;6,35
1137,23;6,6;5,01
1137,73;4,9;4,02
1138,28;3,5;3,24
1138,78;2,5;2,64
1139,28;1,7;2,18
1139,8;1,2;1,78
1140,31;0,7;1,49
1140,81;0,4;1,27
1141,33;0,1;1,07
;;0,951
